,food,service,value,atmosphere
Red Sparrow,3.5,3.5,3.5,3.5
Blu Kouzina,4.5,4.5,4,4.5
The Dempsey Cookhouse & Bar,4,4,4,4.5
Jim Thompson,4,4.5,3.5,4.5
Chopsuey Cafe,4,4,3.5,4.5
The White Rabbit, 4,4,3.5,4.5
Long Beach Seafood Restaurant,4.5,4,3.5,3.5
Samy's Curry,4,4,4,3.5
Candlenut,4.5,4.5,4,4
JUMBO Seafood (Dempsey Hill),4.5,4,3.5,4
PS.Cafe Harding,4,3.5,3.5,4
La Salsa,4,3.5,3.5,4
Chop Suey Cafe,4,4,3.5,4.5
Margarita's Dempsey Hill,4,4,3.5,4
Atout,4,4,4,4.5
Open Farm Community,4,4,3.5,4.5
Chopsuey Cafe,4.5,4,4,4.5
Don Quijote Spanish Restaurant,4,4,3.5,4
Min Jiang at Dempsey,4.5,4,3.5,4
RedDot BrewHouse Dempsey,3.5,3.5,3.5,4.5
Culina at COMO Dempsey,4,3.5,3.5,4
The Disgruntled Chef,4,4,3.5,4
Huber's Butchery,4,3.5,3.5,3
Morsels,4,4,3.5,4
COMO Cuisine,3.5,4,3.5,4.5
La Forketta,4,3.5,3.5,4
Tiong Bahru Bakery,3.5,3.5,3.5,4
Little House of Dreams,4,4,3.5,4
Tawandang Microbrewery,3.5,3.5,3,3.5
Siri House,4.5,4,4,4
Roundhouse singapore,2.5,2.5,2.5,2.5
Dome Cafe,3,3,2.5,3
Bécasse Restaurant,3,3,3,3.5
Barracks Cafe,3.5,3.5,3.5,4
The Wine Company,4,4,4,3.5
Vintage India,4,4.5,3.5,4.5
Carrotsticks & Cravings (Dempsey),4.5,4,3.5,4
Bincho at Min Jiang,4,4,3.5,4
Harry's Dempsey,3.5,3.5,3.5,4
Tuga,4,4,4,4
Jones the Grocer - Singapore,3.5,3,3,3.5
Ippoh Tempura Bar by Ginza Ippoh,4.5,4.5,3.5,4.5
CM-PB Contemporary Melting Pot and Bar,4,4,3.5,4
The Rabbit Hole,4,3.5,3.5,4.5
Chang Korean BBQ Restaurant,4,3.5,3,3.5
The Wine Company,3.5,3.5,4,4.5
Rakuichi Japanese Restaurant,4,3.5,3.5,3.5
House,3.5,3.5,3,3.5
Da Paolo Dempsey Restaurant & Bar,3.5,3.5,3,4.5
LONG BEACH UDMC,4,3.5,3.5,3.5
Crab in da Bag,4,4.5,3.5,4
SandBank,4,4,3.5,4
Sushi Tei,3.5,3.5,3.5,3.5
The Seafood International Market & Restaurant,4,3.5,4,3.5
Bakery And Bar St. Marc,3.5,3.5,3.5,3.5
Georges Beach Club,3.5,4,3.5,4
Basil & Thyme,3.5,3.5,3,4.5
Atmosphere Bistro & Bar,2.5,3,2.5,3
Full Pint Brewery & Fish Bar Restaurant,3,3,2.5,2
