<<<<<<< HEAD
Subject ID,Language,Datetime,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10.1,Q10.2,Q10.3,Q10.4,Q11.1,Q11.2,Q11.3,Q11.4,Q11.5,Q12.1,Q12.2,Q12.3,Q12.4,Q12.5,Q12.6,Q12.7
p259,Malay,2021_04_07_10_53_37,-1,-1,-1,-1,-1,0,1,-1,3,4,3,2,1,4,5,3,2,1,5,6,4,3,2,1,7
K658,Malay,2010_01_04_09_47_33,2,2,2,2,-2,-2,-2,0,4,1,2,3,4,2,3,5,1,4,1,2,4,3,6,5,7
p258,Malay,2021_04_07_10_51_50,2,1,-2,0,-1,-2,-1,0,3,4,1,2,3,1,2,5,4,3,1,2,3,4,7,5,6
N665,Malay,2021_07_21_17_57_07,-2,2,0,-2,0,1,-2,0,2,1,4,2,3,1,3,2,4,5,3,4,1,5,6,7,2
p238,Malay,2021_04_13_11_02_13,2,2,0,0,2,1,2,1,1,3,4,1,2,4,5,2,1,3,3,2,1,4,5,7,6
K659,Malay,2010_01_04_10_38_55,2,1,0,1,2,1,2,0,3,2,3,1,4,3,5,1,2,4,2,1,3,4,7,6,5
P267,Malay,2021_04_05_08_22_37,2,2,-2,-2,-2,2,2,-2,2,3,1,2,3,4,1,2,3,4,5,1,2,3,4,5,6
test,Malay,2021_07_16_17_02_03,2,2,0,-1,0,2,1,-1,2,1,4,3,2,2,1,3,4,5,1,2,3,4,7,5,6
P240,Malay,2021_04_13_11_05_04,0,1,1,0,0,2,-1,1,1,1,3,4,2,1,2,3,5,4,2,3,1,4,7,5,6
P242,Malay,2021_04_13_10_57_42,0,0,1,0,2,0,0,2,1,1,3,2,4,2,1,5,4,3,1,2,3,7,4,6,5
p251,Malay,2021_04_13_10_57_58,2,0,1,2,1,2,-2,2,4,2,3,1,4,1,3,4,5,2,2,1,3,4,5,6,7
N657,Malay,2021_07_12_16_35_24,0,1,2,1,1,,2,2,1,1,2,3,4,1,2,3,4,5,1,2,4,3,7,5,6
P3115,Malay,2021_03_23_08_19_21,1,0,2,1,2,2,1,2,1,2,1,4,3,2,1,5,3,4,1,2,4,3,5,7,6
P244,Malay,2021_04_13_10_50_41,2,2,2,1,-1,1,2,2,4,1,4,3,2,1,5,3,2,4,1,2,3,4,5,6,7
P3137,Malay,2021_03_22_08_55_42,2,1,1,1,0,2,2,2,4,4,2,3,1,1,4,3,5,2,1,3,2,4,6,5,7
N666,Malay,2021_07_15_17_56_44,1,1,2,-2,1,-1,2,-1,1,1,3,2,4,1,5,2,3,4,3,2,1,6,4,5,7
